epoch,step,train_loss,val_loss
0,49,0.0014740251936018467,
0,61,,0.0007115582702681422
1,99,0.0003386140742804855,
1,123,,0.0005357693298719823
2,149,0.0003811928618233651,
2,185,,0.0009345912840217352
3,199,0.0007456665625795722,
3,247,,0.0004154958005528897
4,249,0.0006463966565206647,
4,299,0.000423788937041536,
4,309,,0.0004949942813254893
5,349,0.0004565068520605564,
5,371,,0.0004001903289463371
6,399,0.000554806727450341,
6,433,,0.0004654276999644935
7,449,0.000441160227637738,
7,495,,0.0003525818174239248
8,499,0.00043105456279590726,
8,549,0.00032480742083862424,
8,557,,0.0003484065236989409
9,599,0.0003300060052424669,
9,619,,0.0003809824411291629
10,649,0.000621265557128936,
10,681,,0.00034767729812301695
11,699,0.00045815063640475273,
11,743,,0.0004122382670175284
12,749,0.0006416202522814274,
12,799,0.0002513528452254832,
12,805,,0.0004010667616967112
13,849,0.0004600964894052595,
13,867,,0.0006007262854836881
14,899,0.0003335907531436533,
14,929,,0.00032133868080563843
