epoch,step,train_loss,val_loss
0,49,0.003754227189347148,
0,62,,0.06181643158197403
1,99,0.01195702888071537,
1,125,,0.05511455610394478
2,149,0.00043827894842252135,
2,188,,0.013420075178146362
3,199,0.010960844345390797,
3,249,0.00479536596685648,
3,251,,0.010471879504621029
4,299,0.08271759748458862,
4,314,,0.009497925639152527
5,349,0.0003137239546049386,
5,377,,0.00740208150818944
6,399,0.00021991130779497325,
6,440,,0.006800539791584015
7,449,7.89703699410893e-05,
7,499,0.014853052794933319,
7,503,,0.006338692270219326
8,549,0.0032867006957530975,
8,566,,0.006373681128025055
9,599,7.532287418143824e-05,
9,629,,0.00634818384423852
10,649,7.693916995776817e-05,
10,692,,0.0063637602142989635
11,699,0.00016062281792983413,
11,749,0.01924942620098591,
11,755,,0.006113598123192787
12,799,0.004385628271847963,
12,818,,0.0058943601325154305
13,849,9.299757948610932e-05,
13,881,,0.005725064314901829
14,899,0.00026711984537541866,
14,944,,0.005966397933661938
15,949,0.00043236976489424706,
15,999,0.012198418378829956,
15,1007,,0.005767233669757843
16,1049,0.014953871257603168,
16,1070,,0.0054359580390155315
17,1099,0.00011410926526878029,
17,1133,,0.0054072728380560875
18,1149,0.0002776561595965177,
18,1196,,0.0053118085488677025
19,1199,0.0005005199927836657,
19,1249,0.006897165440022945,
19,1259,,0.00534219341352582
