epoch,step,train_loss,val_loss
0,49,0.0015913877869024873,
0,62,,0.0008423217223025858
1,99,0.0011497987434267998,
1,125,,0.000657684460747987
2,149,0.0006692775641568005,
2,188,,0.0006870548240840435
3,199,0.0005404289113357663,
3,249,0.00039252504939213395,
3,251,,0.0005013587651774287
4,299,0.0005947063909843564,
4,314,,0.0007197680533863604
5,349,0.0008195457048714161,
5,377,,0.0005752304568886757
6,399,0.0005143423331901431,
6,440,,0.0008580264402553439
7,449,0.0007604405400343239,
7,499,0.0003875421534758061,
7,503,,0.0004562482936307788
8,549,0.0005145873292349279,
8,566,,0.0005895805661566556
9,599,0.0005048469174653292,
9,629,,0.00047952515888027847
10,649,0.0008495773072354496,
10,692,,0.00045293851871974766
11,699,0.0005304926307871938,
11,749,0.0005356759065762162,
11,755,,0.00045488838804885745
12,799,0.0006100747850723565,
12,818,,0.0006775215733796358
13,849,0.0005650485400110483,
13,881,,0.0004166666476521641
14,899,0.0005427224095910788,
14,944,,0.0004322042514104396
