epoch,step,train_loss,val_loss
0,49,0.06304629892110825,
0,62,,0.034538209438323975
1,99,0.0075042396783828735,
1,125,,0.06652890890836716
2,149,0.002339619677513838,
2,188,,0.07685001194477081
3,199,0.00655494024977088,
3,249,0.02242078259587288,
3,251,,0.02752770110964775
4,299,0.1683182716369629,
4,314,,0.03524615988135338
5,349,0.0014406146947294474,
5,377,,0.038409844040870667
6,399,0.0038506309501826763,
6,440,,0.03570746257901192
7,449,0.025323128327727318,
7,499,0.06405660510063171,
7,503,,0.031280603259801865
8,549,0.09272129088640213,
8,566,,0.02972402796149254
9,599,0.0016341902082785964,
9,629,,0.018340425565838814
10,649,0.005547155160456896,
10,692,,0.0341428741812706
11,699,0.0316072516143322,
11,749,0.06836185604333878,
11,755,,0.03896578401327133
12,799,0.027611086145043373,
12,818,,0.024877123534679413
13,849,0.0011003859108313918,
13,881,,0.01814471185207367
14,899,0.001321160700172186,
14,944,,0.021029751747846603
