epoch,step,train_loss,val_loss
0,11,,0.03535423427820206
1,23,,0.009106824174523354
2,35,,0.011480316519737244
3,47,,0.004017767962068319
4,49,0.05297061800956726,
4,59,,0.008781074546277523
5,71,,0.004580875858664513
6,83,,0.004339969716966152
7,95,,0.0026565345469862223
8,99,0.011043338105082512,
8,107,,0.0030661241617053747
9,119,,0.0025521861389279366
10,131,,0.0021727478597313166
11,143,,0.0031947093084454536
12,149,0.008278340101242065,
12,155,,0.0026404745876789093
13,167,,0.0034599662758409977
14,179,,0.0038012696895748377
15,191,,0.0032885365653783083
