epoch,step,train_loss,val_loss
0,49,0.0020252219401299953,
0,62,,0.0488869845867157
1,99,0.011007443070411682,
1,125,,0.049372922629117966
2,149,0.00029259451548568904,
2,188,,0.014012482948601246
3,199,0.010349168442189693,
3,249,0.006281677633523941,
3,251,,0.009273028001189232
4,299,0.06479699909687042,
4,314,,0.00861380435526371
5,349,0.0005289538530632854,
5,377,,0.007740254979580641
6,399,9.456892439629883e-05,
6,440,,0.007195223588496447
7,449,9.658298949943855e-05,
7,499,0.013488014228641987,
7,503,,0.007026551757007837
8,549,0.003610468003898859,
8,566,,0.006651675328612328
9,599,0.00011320846533635631,
9,629,,0.006721494719386101
10,649,7.10061431163922e-05,
10,692,,0.00634757662191987
11,699,9.445763134863228e-05,
11,749,0.02117222361266613,
11,755,,0.0061410218477249146
12,799,0.004415400791913271,
12,818,,0.005899909883737564
13,849,0.00010211636254098266,
13,881,,0.005653108935803175
14,899,0.00020232214592397213,
14,944,,0.005338576156646013
