epoch,step,train_loss,val_loss
0,49,0.06493207812309265,
0,62,,0.005221119616180658
1,99,0.03236055746674538,
1,125,,0.0011834139004349709
2,149,0.012773607857525349,
2,188,,0.0008414819021709263
3,199,0.010883482173085213,
3,249,0.006422863807529211,
3,251,,0.0004690746427513659
4,299,0.008883730508387089,
4,314,,0.0005922876880504191
5,349,0.005468268413096666,
5,377,,0.0010123845422640443
6,399,0.006996637675911188,
6,440,,0.0006299659726209939
7,449,0.005747122690081596,
7,499,0.007019388023763895,
7,503,,0.0006038929568603635
8,549,0.008904105052351952,
8,566,,0.0014726640656590462
