epoch,step,train_loss,val_loss
0,49,0.0005655970307998359,
0,62,,0.2721932530403137
1,99,0.00029292699764482677,
1,125,,0.24895931780338287
2,149,0.0002181178715545684,
2,188,,0.27966052293777466
3,199,0.003384723560884595,
3,249,0.01946098357439041,
3,251,,0.28974679112434387
4,299,0.007626959588378668,
4,314,,0.28671106696128845
5,349,0.0002633039257489145,
5,377,,0.19551241397857666
6,399,0.00033453351352363825,
6,440,,0.026312142610549927
7,449,0.0038486048579216003,
7,499,0.0016540701035410166,
7,503,,0.035255663096904755
8,549,0.0009770659962669015,
8,566,,0.02915000542998314
9,599,0.00011181406443938613,
9,629,,0.03347214683890343
10,649,0.00020050218154210597,
10,692,,0.009176456369459629
11,699,0.0004746491904370487,
11,749,0.00011553573131095618,
11,755,,0.023432310670614243
12,799,5.204724584473297e-05,
12,818,,0.004386206157505512
13,849,3.2259475119644776e-05,
13,881,,0.02254095859825611
14,899,0.0004517539346124977,
14,944,,0.0029540813993662596
15,949,0.0001773116528056562,
15,999,0.00017568017938174307,
15,1007,,0.01965917833149433
16,1049,2.7985739507130347e-05,
16,1070,,0.01055529247969389
17,1099,3.398925036890432e-05,
17,1133,,0.030050216242671013
18,1149,0.0002612352545838803,
18,1196,,0.021011268720030785
19,1199,5.495225923368707e-05,
19,1249,5.3169835155131295e-05,
19,1259,,0.029058730229735374
20,1299,2.580455293355044e-05,
20,1322,,0.026901375502347946
21,1349,2.4078584829112515e-05,
21,1385,,0.03184259682893753
22,1399,2.4350587409571745e-05,
22,1448,,0.02992773987352848
23,1449,3.690266021294519e-05,
23,1499,0.00017017978825606406,
23,1511,,0.031414903700351715
24,1549,2.7235515517531894e-05,
24,1574,,0.03211572766304016
