epoch,step,train_loss,val_loss
0,49,0.0012347211595624685,
0,62,,0.001015672693029046
1,99,0.0009864001767709851,
1,125,,0.0007131811580620706
2,149,0.0006246522534638643,
2,188,,0.0004830909601878375
3,199,0.0004613577330019325,
3,249,0.0007821767358109355,
3,251,,0.0008374436874873936
4,299,0.0008078502723947167,
4,314,,0.00035325088538229465
5,349,0.000374440016457811,
5,377,,0.0009072652901522815
6,399,0.0005397324566729367,
6,440,,0.00043218189966864884
7,449,0.0007559806690551341,
7,499,0.00048047094605863094,
7,503,,0.0003383008879609406
8,549,0.0003377099346835166,
8,566,,0.0003707153955474496
9,599,0.0003980848123319447,
9,629,,0.0005034454516135156
10,649,0.00031408946961164474,
10,692,,0.00042838911758735776
11,699,0.00037543484359048307,
11,749,0.000438410002971068,
11,755,,0.0003619107010308653
12,799,0.0005346748512238264,
12,818,,0.0002967400650959462
13,849,0.0004376541473902762,
13,881,,0.0004593796911649406
14,899,0.00016438258171547204,
14,944,,0.00028624985134229064
